time,S,label
26.0,0.4825993224514937,1980
27.0,0.4811620983471917,1980
28.0,0.4800328508366694,1980
29.0,0.47869828559696087,1980
30.0,0.4772610614926597,1980
31.0,0.47602915511754457,1980
32.0,0.47500256647161493,1980
33.0,0.4740786366902778,1980
34.0,0.4733600246381276,1980
35.0,0.47294938917975515,1980
36.0,0.47171748280464,1980
37.0,0.47066244867311857,1980
38.0,0.47026074530298506,1980
39.0,0.46948627108476554,1980
40.0,0.46857358393257903,1980
41.0,0.46791331115108653,1980
42.0,0.46678648800562916,1980
43.0,0.4656662004344158,1980
44.0,0.46506222352075244,1980
45.0,0.46506222352075244,1980
0.0,1.0,1990
1.0,0.7992269340653179,1990
2.0,0.7199596661251467,1990
3.0,0.6694302840177025,1990
4.0,0.6359867794521316,1990
5.0,0.6101058764214885,1990
6.0,0.5915074785726294,1990
7.0,0.5790712004929696,1990
8.0,0.568259481261554,1990
9.0,0.560136687020335,1990
10.0,0.5531342781916981,1990
11.0,0.5473082740462718,1990
12.0,0.5415382891714752,1990
13.0,0.5370567475211475,1990
14.0,0.5339756876365468,1990
15.0,0.5307825892106881,1990
16.0,0.5273093944316841,1990
17.0,0.5244524116296005,1990
18.0,0.5218195059100332,1990
19.0,0.5195787350848687,1990
20.0,0.5178421376953674,1990
21.0,0.5153772897876873,1990
22.0,0.513416615315669,1990
23.0,0.5123522491737158,1990
24.0,0.5110077866786172,1990
25.0,0.5089910929359698,1990
26.0,0.5071984762758388,1990
27.0,0.5056041392187831,1990
28.0,0.5045005442781745,1990
29.0,0.5034550457877706,1990
30.0,0.5020690718145077,1990
31.0,0.500763111801117,1990
32.0,0.49981863214853123,1990
33.0,0.4980123696678709,1990
34.0,0.49442380975833483,1990
35.0,0.49442380975833483,1990
0.0,1.0,2000
1.0,0.8517378250470713,2000
2.0,0.7938018421454375,2000
3.0,0.7596814411480327,2000
4.0,0.7385374790087023,2000
5.0,0.7232201923566226,2000
6.0,0.7128644852679259,2000
7.0,0.7041117500381661,2000
8.0,0.6977253066001728,2000
9.0,0.6923820670703783,2000
10.0,0.687267823520431,2000
11.0,0.6835021118518146,2000
12.0,0.6803979441249814,2000
13.0,0.6778535443488877,2000
14.0,0.6755381405526438,2000
15.0,0.672942852781029,2000
16.0,0.6709073329601553,2000
17.0,0.6690291263312664,2000
18.0,0.6673693549436942,2000
19.0,0.6658202352855621,2000
20.0,0.6640337430695751,2000
21.0,0.6628574824014312,2000
22.0,0.660598254445052,2000
23.0,0.6589413419797255,2000
24.0,0.6571496585725299,2000
25.0,0.6554603278306986,2000
0.0,1.0,2010
1.0,0.8868182900690651,2010
2.0,0.8454036675398905,2010
3.0,0.82119552274351,2010
4.0,0.8064658251964759,2010
5.0,0.7963562753036446,2010
6.0,0.7898904501071686,2010
7.0,0.7848325104495667,2010
8.0,0.7814247388821661,2010
9.0,0.7781350451967439,2010
10.0,0.7749927048077639,2010
11.0,0.772741699388665,2010
12.0,0.770560992990877,2010
13.0,0.7691978337889781,2010
14.0,0.7678286129614271,2010
15.0,0.7667928729259568,2010
17.0,0.0,2010
0.0,1.0,2020
1.0,0.9246758943366803,2020
2.0,0.895300431652745,2020
3.0,0.8804701437676661,2020
4.0,0.8709620537955918,2020
5.0,0.8653250906326411,2020
6.0,0.4326625453163206,2020
7.0,0.14422084843877353,2020
8.0,0.0,2020
